show-hooks	-	-t	[-Bgpw] [-t target-pane] [hook]
show-messages	showmsgs	-t	[-JT] [-t target-client]
show-options	show	-t	[-AgHpqsvw] [-t target-pane] [option]
show-prompt-history	showphist	-T	[-T prompt-type]
show-window-options	showw	-t	[-gv] [-t target-window] [option]
source-file	source	-t	[-Fnqv] [-t target-pane] path ...
split-window	splitw	-F	[-bdefhIklPvWZ] [-c start-directory] [-e environment] [-F format] [-l size] [-m message] [-p percentage] [-s style] [-S active-border-style] [-R inactive-border-style] [-T title] [-t target-pane] [shell-command [argument ...]]
start-server	start	-	@EMPTY@
swap-pane	swapp	-s	[-dDUZ] [-s src-pane] [-t dst-pane]
swap-window	swapw	-s	[-d] [-s src-window] [-t dst-window]
switch-client	switchc	-O	[-ElnprZ] [-c target-client] [-t target-session] [-T key-table] [-O order]
unbind-key	unbind	-T	[-anq] [-T key-table] key
wait-for	wait	-	[-L|-S|-U] channel
