$ compat/tui-caps.sh   (run 1 at 21c914e1, 2026-09-10T17:48:12-03:00)
ok    widths/-u/line: both W1 M-dM-8M-^VM-gM-^UM-^L | eM-LM-^A | M-pM-^_M-^XM-^@ |$
ok    colours/stock glyphs: both CLR R I X B END
ok    colours/stock cell R: both ^[[31mR
ok    colours/stock cell I: both ^[[38;5;42mI
ok    colours/stock cell X: both ^[[38;2;10;20;30mX
ok    colours/stock cell B: both ^[[41mB
ok    colours/stock line: both CLR ^[[31mR^[[39m ^[[38;5;42mI^[[39m ^[[38;2;10;20;30mX^[[39m ^[[41mB^[[49m END
ok    colours/palette glyphs: both CLR R I X B END
ok    colours/palette cell R: both ^[[38;2;0;255;0mR
ok    colours/palette cell I: both ^[[38;5;42mI
ok    colours/palette cell X: both ^[[38;2;10;20;30mX
ok    colours/palette cell B: both ^[[48;2;0;255;0mB
ok    colours/palette line: both CLR ^[[38;2;0;255;0mR^[[39m ^[[38;5;42mI^[[39m ^[[38;2;10;20;30mX^[[39m ^[[48;2;0;255;0mB^[[49m END
ok    colours/indexed glyphs: both CLR R I X B END
ok    colours/indexed cell R: both ^[[38;2;0;255;0mR
ok    colours/indexed cell I: both ^[[38;2;255;0;255mI
ok    colours/indexed cell X: both ^[[38;2;10;20;30mX
ok    colours/indexed cell B: both ^[[48;2;0;255;0mB
ok    colours/indexed line: both CLR ^[[38;2;0;255;0mR^[[39m ^[[38;2;255;0;255mI^[[39m ^[[38;2;10;20;30mX^[[39m ^[[48;2;0;255;0mB^[[49m END
ok    colours/reset glyphs: both CLR R I X B END
ok    colours/reset cell R: both ^[[31mR
ok    colours/reset cell I: both ^[[38;5;42mI
ok    colours/reset cell X: both ^[[38;2;10;20;30mX
ok    colours/reset cell B: both ^[[41mB
ok    colours/reset line: both CLR ^[[31mR^[[39m ^[[38;5;42mI^[[39m ^[[38;2;10;20;30mX^[[39m ^[[41mB^[[49m END
ok    cli/-2 -V: both exit=0
tmux VERSION
ok    cli/-u -V: both exit=0
tmux VERSION
ok    cli/-T sixel -V: both exit=0
tmux VERSION
ok    cli/-T: both exit=1
PROG: option requires an argument -- T
usage: PROG [-2CDhlNuVv] [-c shell-command] [-f file] [-L socket-name]
            [-S socket-path] [-T features] [command [flags]]
ok    cli/-W -V: both exit=1
PROG: unknown option -- W
usage: PROG [-2CDhlNuVv] [-c shell-command] [-f file] [-L socket-name]
            [-S socket-path] [-T features] [command [flags]]
111 asserted rows, 31 recorded rows
all 111 asserted rows identical
exit=0
